,ranking,title,artist,peak,prev,streak
0,1, Turn The Lights Off,"Kato, Jon",1,1,26
1,2, I Thought I Saw Your Face Today,She & Him,2,3,54
2,3, Fanatismo,Yasmin Sensação,2,2,5
3,4," Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",4,4,19
4,5, SO ASU x Dora Dora,melo,5,6,3
5,6, Pase y Toque,"BeatBoy, Victor Mendivil",5,5,5
6,7, FA9LA,Flipperachi,1,7,25
7,8, DUY BENİ,Göksel İpekçi,7,8,5
8,9, gravity,all things break,6,9,19
9,10, you broke my heart (Hoodtrap / Mylancore Remix),"kobzx2z, Myla, Kryd",10,10,2
10,11, Seet Lehar,"Filmy, Riyaazi",9,12,10
11,12, Alô Virgínia - Ao Vivo,"Grupo Chocolate, Turma do Pagode",5,11,12
12,13, Die On This Hill,SIENNA SPIRO,8,13,68
13,14, Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",7,14,43
14,15, EEEE A,dia,12,16,15
15,16, Al Final del Día,Xolo Music,16,17,3
16,17, СВЕТЛАНА!,NEXTIME,6,15,16
17,18, End of Beginning,Djo,1,34,34
18,19, Zoo,"Disney, Shakira",6,18,37
19,20, My Moon My Man,Feist,20,22,11
20,21, 4 Raws,EsDeeKid,11,23,103
21,22, KALYANI,"ARJN, KDS, FIFTY4, RONN",22,27,33
22,23, Montagem Miau,Lenar,3,20,33
23,24, bargad,"sufr, Arpit Bala, toorjo dey",1,19,42
24,25, BOO,H3adband,22,26,19
25,26, Meri Zindagi Hai Tu,"Asim Azhar, Sabri Sisters",15,24,29
26,27," Big Guy - from ""The SpongeBob Movie: Search for SquarePants”",Ice Spice,23,28,33
27,28, Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",19,21,5
28,29, Ya Borracho,Herencia De Grandes,7,25,40
29,30, Hawa Hawa,Hassan Jahangir,28,30,6
30,31, Menerima Luka,Natasya Sabella,31,37,2
31,32, ดอกกระเจียวบาน,Kong Huayrai,18,29,5
32,33, Turn The Lights Off,"Justė, Jaxstyle, Jon",4,38,21
33,34, Tirol,DJ Ötzi,34,35,3
34,35, kota ini tak sama tanpamu,Nadhif Basalamah,33,36,22
35,36, KUSURA BAKMA,BLOK3,5,31,19
36,37, Never Ending Story,"Gaten Matarazzo, Gabriella Pizzolo",1,42,37
37,38, SNOKONOKO,"Al Xapo, Benzoo, EeQue",9,33,19
38,39, Meu Bem Querer,Yasmin Sensação,21,32,5
39,40, Strut,"Ayanna Ife, ZEDDY WILL, Jenn Carter",21,41,15
40,41, Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",23,40,96
41,42, ZEP (feat. Uncool MC),"Dj Smallz, ZinedinexSguche, 031CHOPPA, Uncool MC",5,39,12
42,43, A Little Thing Like Love,Kayla Kross,43,52,3
43,44, Beast (feat. Waka Flocka),"Mia Martina, Waka Flocka Flame",44,63,2
44,45, Sedia Aku Sebelum Hujan,Idgitaf,10,44,44
45,46, Good Goodbye,HWASA,4,46,37
46,47, Running Up That Hill (A Deal With God),Kate Bush,1,47,6
47,48, NOT CUTE ANYMORE,ILLIT,14,45,26
48,49, Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",11,43,19
49,50, Raindance (feat. Tems),"Dave, Tems",20,50,18
50,51, Gal Sun,"Sabat Batin, Rackstar",4,53,53
51,52, Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",8,49,26
52,53, Phantom,"EsDeeKid, Rico Ace",16,48,110
53,54, SENDA BELLAKONA,SINAKA,52,54,4
54,55," Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",44,56,12
55,56, WHERE IS MY HUSBAND!,RAYE,2,58,89
56,57, İntihaşk,Onur Can Özcan,57,60,4
57,58, Silêncio,"Toca Aquela, Breno Major, Mariana Fagundes, Thauane",7,51,12
58,59, FDO,Pooh Shiesty,36,55,5
59,60, When It's Cold I'd Like to Die,"Moby, Mimi Goese",59,66,3
60,61, Bunu Senden Beklemezdim,Eda Doğanay,4,57,23
61,62, Pag-Ibig ay Kanibalismo II,fitterkarma,2,59,64
62,63, Love Me,JMSN,26,64,44
63,64, Fever,"Buckshot, fakemink",21,69,46
64,65, I Run,"HAVEN., Kaitlin Aragon",4,68,26
65,66, Yeniden,Ragga Oktay,11,61,22
66,67, Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",48,62,5
67,68, Disarankan di Bandung,"Dongker, Jason Ranti",9,65,39
68,69, Ada titik-titik di ujung doa,Sal Priadi,69,71,4
69,70, Upside Down,Diana Ross,70,74,4
70,71, LA VILLA,"Ryan Castro, Kapo, Gangsta",71,75,7
71,72, Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",18,67,19
72,73, CHANEL,Tyla,23,72,54
73,74, Choosin' Texas,Ella Langley,18,79,61
74,75, I Want Things to Be Beautiful,Devi McCallion,61,76,18
75,76," Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",59,73,12
76,77, I Think They Call This Love - Cover,Matthew Ifield,43,70,32
77,78, Dardos,"Romeo Santos, Prince Royce",47,81,19
78,79, SENCY,"dia, Tenxi",66,89,17
79,80, กลัวว่าฉันจะไม่เสียใจ (Fear),PURPEECH,52,78,63
80,81, Panis ka boy,"GA Chillerong Ghetto, Paul N Ballin",70,86,11
81,82, Century,EsDeeKid,19,80,47
82,83, herkes kendine yakışanı yapsın,"Organize, Waxy",16,77,26
83,84, Kalapastangan,fitterkarma,8,84,60
84,85, Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",5,82,87
85,86, New Year’s Day,Taylor Swift,44,—,1
86,87, Dekha Hi Nahi,Osho Jain,69,83,12
87,88, Who Knows,Daniel Caesar,9,87,54
88,89," Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",59,88,19
89,90, So Easy (To Fall In Love),Olivia Dean,7,91,82
90,91, Too Sweet,"Trinix, The Macarons Project",85,85,8
91,92, Um Novo Dia - Ao Vivo,"Get Worship, Get Records, Melk Villar, Vinicius Cruz",92,—,1
92,93, NO ME QUIERO CASAR,Bad Bunny,93,—,1
93,94, La Perla,"ROSALÍA, Yahritza Y Su Esencia",3,92,40
94,95, Everything Is Romantic,Orchestra Club,16,96,42
95,96, BYE BYE,"Era7capone, Murda",91,93,5
96,97, The Fate of Ophelia,Taylor Swift,7,98,5
97,98, melodrama,"disiz, Theodora",9,94,82
98,99, Eu Só Quero Você,"AgroPlay, Ana Castela, Zé Felipe",84,90,5
99,100, Purple Rain,Prince,1,—,1
